2021-01-24 17:32:20 [main] INFO  by.metelski.learn.tryit.Main- message
2021-01-24 17:36:34 [main] ERROR by.metelski.learn.tryit.Main- messageError
2021-01-24 17:36:34 [main] INFO  by.metelski.learn.tryit.Main- messageInfo
2021-01-24 17:36:34 [main] DEBUG by.metelski.learn.tryit.Main- messageDebug
2021-01-24 17:36:34 [main] WARN  by.metelski.learn.tryit.Main- messageWarn
2021-01-24 17:37:02 [main] INFO  by.metelski.learn.entity.CustomArray- set array
2021-01-24 17:37:02 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 17:37:02 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 17:37:02 [main] INFO  by.metelski.learn.action.ArrayParameterCalculator- max value: 12
2021-01-24 17:37:29 [main] INFO  by.metelski.learn.entity.CustomArray- set array
2021-01-24 17:37:29 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 17:37:29 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 17:37:29 [main] INFO  by.metelski.learn.action.ArrayParameterCalculator- max value: 12
2021-01-24 17:41:06 [main] INFO  by.metelski.learn.entity.CustomArray- set array
2021-01-24 17:41:06 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 17:41:06 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 17:41:06 [main] INFO  by.metelski.learn.action.ArrayParameterCalculator- max value: 12
2021-01-24 17:41:06 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 17:41:06 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 17:41:06 [main] INFO  by.metelski.learn.action.ArrayParameterCalculator- min value: -8
2021-01-24 17:46:27 [main] INFO  by.metelski.learn.entity.CustomArray- set array
2021-01-24 17:46:27 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 17:46:27 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 17:46:27 [main] INFO  by.metelski.learn.action.ArrayParameterCalculator- Average value: 3.625
2021-01-24 17:46:27 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 17:46:27 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 17:46:27 [main] INFO  by.metelski.learn.action.ArrayParameterCalculator- max value: 12
2021-01-24 17:46:27 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 17:46:27 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 17:46:27 [main] INFO  by.metelski.learn.action.ArrayParameterCalculator- min value: -8
2021-01-24 17:48:06 [main] INFO  by.metelski.learn.entity.CustomArray- set array
